nav_date,M0155_2547,M0209_2548
2024-01-30,19.5353,29.84
2024-01-31,19.4323,29.6813
2024-02-01,19.4811,29.7563
2024-02-02,19.7399,30.1506
2024-02-05,19.7214,30.1213
2024-02-06,19.9258,30.4334
2024-02-07,19.9733,30.5057
2024-02-08,19.7917,30.2289
2024-02-09,19.7674,30.1918
2024-02-12,19.7877,30.2232
2024-02-13,19.8188,30.2731
2024-02-14,19.671,30.0449
2024-02-15,19.6864,30.0682
2024-02-16,19.705,30.0957
2024-02-19,19.7687,30.1933
2024-02-20,19.6991,30.083
2024-02-21,19.9136,30.4113
2024-02-22,20.0411,30.6059
2024-02-23,20.0004,30.5424
2024-02-27,19.8904,30.3712
2024-02-28,19.7192,30.1098
2024-02-29,19.6475,30.0022
2024-03-01,19.5977,29.9219
2024-03-04,19.5415,29.8399
2024-03-05,19.4914,29.7621
2024-03-06,19.6828,30.0547
2024-03-07,19.7222,30.1132
2024-03-08,19.9471,30.4566
2024-03-11,19.823,30.269
2024-03-12,19.8392,30.2966
2024-03-13,19.9244,30.4271
2024-03-14,20.1158,30.7166
2024-03-15,19.9514,30.4646
2024-03-18,19.9863,30.5195
2024-03-19,19.9218,30.4221
2024-03-20,19.8078,30.2464
2024-03-21,20.0326,30.5923
2024-03-22,19.9619,30.485
2024-03-25,19.821,30.269
2024-03-26,19.8756,30.354
2024-03-27,19.9124,30.4083
2024-03-28,19.7425,30.1472
2024-03-29,19.8828,30.3626
2024-04-01,19.9001,30.3894
2024-04-02,19.9151,30.4131
2024-04-03,19.8825,30.3626
2024-04-04,19.8841,30.3642
2024-04-05,19.9331,30.4389
2024-04-09,20.3645,31.0979
2024-04-10,20.4426,31.219
2024-04-11,20.2358,30.9035
2024-04-17,19.8554,30.3226
2024-04-18,19.7496,30.158
2024-04-19,19.329,29.5179
2024-04-22,19.6106,29.9449
2024-04-23,19.7314,30.1293
2024-04-24,19.7978,30.231
2024-04-25,19.8401,30.2946
2024-04-26,19.7731,30.1927
2024-04-29,19.7815,30.2058
2024-04-30,19.8724,30.3438
2024-05-02,19.8138,30.2529
2024-05-03,19.9467,30.4578
2024-05-07,20.0864,30.6699
2024-05-08,20.039,30.5989
2024-05-09,19.9991,30.536
2024-05-10,20.0563,30.623
2024-05-13,20.0719,30.6449
2024-05-14,20.1502,30.7636
2024-05-15,19.482,30.6482
2024-05-16,19.6111,30.8496
2024-05-17,19.6967,30.9836
2024-05-20,19.6252,30.8728
2024-05-21,19.4864,30.6524
2024-05-23,19.457,30.6066
